Ingredient,Calories per 100 grams
Fresh Coriander Leaves,43
Basil etc.,27
American Corn Kernels,125
Chia Seeds,534
Carrots (Roughly Quartered),41
Ghee,884
Rock Salt,0
Extra Virgin Olive Oil,119
Sesame Oil (Toasted),92
Salt,0
Greek Yogurt,59
50 ml Oil,476
Honey,300
Wild Mushroom,34
Heavy Cream,331
Degi Red Chilli Powder,40
Red Wine (Merlot / Zinfandel),80
Potatoes (Peeled),82
Red Capsicum Cut into One Inch Pieces,30
English Cucumbers,14
Rose Petals (Dried),10
Basmati Rice (Soaked for 2 Hours),358
Dry White Wine,80
For the Dressing:,
Buckwheat Flour,343
Cinnamon,249
Cardamom,304
Saffron Strands / Thread,310
Blueberries,43
Manila Clams or Cockles,105
Cream,331
Salt,0
Avocado (Ripened and Diced),160
Pineapple Chunks,49
Almond Powder,578
Butter,758
Puffed Rice,379
Saffron Threads,310
Prunes (Stoned Dried),263
Egg,155
Red Pepper Flakes (Crushed),40
Red Rice,358
Leeks,32
Fish (Cubed),105
Milk,46
Low Fat Yogurt,35
Taco Shell,297
Fresh Cherries,50
Goan Rice,358
Blueberries,43
Cloves,292
Chana Masala,140
Cadbury Gems,530
Baking Powder,292
Cashew Nuts,578
Almonds,578
Vanilla Bean,288
Dehusked Rice Which Is Flattened into Flat Light Dry Flakes,358
Caster or Powdered Sugar,383
Cider Vinegar,16
Ground White Pepper (Kali Mirch),250
Nutmeg Powder,360
Eggs,155
Soup Sticks as Required,379
Lime (Juiced),29
Anise (Whole),337
Parmesan Cheese Shavings,298
Dessicated Coconut,625
All Spice Powder,205
Crush Mix Chilli,40
Peanuts,578
Red Chilli,40
Fresh Corn Kernels,125
Small Bunch Parsley,43
Butter,758
Sole Fish,105
Coriander,27
Assam Tea Bags,2
Spring Fresh Thyme - Optional 1 Bay Leaf,100
Mullet Bottarga (Optional; See Note),105
