Time,Healthy Person,Diabetic,High Blood Pressure,Heart Patient
1,71,65,85,63
2,68,63,89,69
3,93,92,77,60
4,64,94,92,62
5,68,63,75,93
6,100,66,90,72
7,73,76,83,72
8,76,90,71,78
9,97,89,94,68
10,71,64,87,61
11,69,96,99,65
12,99,75,74,86
13,100,86,77,99
14,69,90,82,63
15,67,76,78,79
16,65,68,77,71
17,81,91,91,65
18,69,82,92,98
19,67,82,60,67
20,76,61,66,78
21,75,83,71,92
22,66,82,89,64
23,78,77,82,100
24,80,71,73,84
25,90,75,76,86
26,79,82,60,95
27,89,72,74,68
28,71,91,97,66
29,67,100,95,94
30,90,70,70,93
31,74,88,69,60
32,62,96,83,67
33,66,100,74,76
34,81,76,89,96
35,90,84,62,76
36,80,83,94,69
37,65,91,77,100
38,76,89,97,66
39,79,72,72,82
40,97,79,84,74
41,79,60,81,96
42,95,87,72,61
43,86,84,89,100
44,96,87,93,80
45,89,100,99,76
46,98,68,69,61
47,80,69,81,76
48,99,99,95,63
49,66,64,87,87
50,62,74,62,70
51,82,68,94,66
52,100,89,97,86
53,79,91,75,83
54,73,61,92,77
55,62,87,65,89
56,97,93,88,68
57,78,78,77,71
58,83,71,89,92
59,94,73,86,72
60,65,87,86,90
61,73,62,72,97
62,99,60,83,87
63,60,87,82,81
64,80,72,93,77
65,72,76,97,69
66,99,74,79,64
67,78,68,88,81
68,90,88,81,68
69,89,96,86,62
70,79,67,75,85
71,98,81,68,67
72,62,94,88,83
73,62,78,85,98
74,69,88,90,94
75,62,82,66,68
76,80,66,96,93
77,64,81,77,83
78,83,69,75,60
79,67,91,88,65
80,83,90,87,75
81,73,60,79,78
82,85,91,99,65
83,88,72,84,76
84,100,100,98,85
85,88,88,68,64
86,83,87,73,82
87,71,61,100,92
88,100,90,91,61
89,92,86,91,78
90,88,94,80,87
91,69,82,83,98
92,81,91,65,87
93,100,64,96,68
94,75,94,73,84
95,78,62,96,92
96,83,78,71,80
97,72,88,93,74
98,75,81,66,62
99,60,66,84,70
100,88,97,64,95
